dueling_double_reward,dueling_double_loss,dueling_double_max_q_value,dueling_double_avg_q_value,dueling_double_steps,dueling_double_clipped_reward,d3qn_per_reward,d3qn_per_loss,d3qn_per_max_q_value,d3qn_per_avg_q_value,d3qn_per_steps,d3qn_per_clipped_reward
-1.0,0.0762233703171659,-inf,0.0,31,-1,-21.0,1.843397907097824,0.007830774411559105,-0.09556445168952146,821,-1
-21.0,2.058012594439788,0.0587260946631431,0.028647576769193,789,-1,-20.0,2.1434666863642633,0.0022827256470918655,-0.12120450437068939,867,-1
-21.0,2.6812433150189463,0.0263543426990509,-0.0018867816660141,911,-1,-21.0,3.4248190227663144,-0.11394807696342468,-0.20405366068536587,931,-1
-17.0,3.36827865937812,0.0295438300818204,-0.0091237273154547,1214,-1,-21.0,2.4821853284956887,-0.17275257408618927,-0.25183238958319026,761,-1
-21.0,2.356556309219741,0.0137832593172788,-0.02189090787707,780,-1,-21.0,0.7581308305088896,-0.1702776998281479,-0.35489958884387174,899,-1
-21.0,2.262972469907254,-0.0104497848078608,-0.0304340657778084,780,-1,-21.0,0.40408712954376824,-0.15865351259708405,-0.34538508951663965,761,-1
-19.0,2.705284839539672,-0.0144917936995625,-0.0413736716172722,977,-1,-19.0,0.38241384435241343,-0.15192222595214844,-0.3354479262851319,1016,-1
-19.0,3.423969759409374,-0.0281336959451437,-0.0624479610692052,1223,-1,-21.0,0.23083711304934695,-0.10215152055025101,-0.34648551543553674,823,-1
-21.0,1.552566020647646,-0.0160272251814603,-0.0764924026249597,897,-1,-18.0,0.3476247795915697,-0.05626777932047844,-0.3507125467938536,1235,-1
-20.0,0.8441140020731837,-0.0210716128349304,-0.1037760068692507,839,-1,-19.0,0.3191121106647188,-0.0832429975271225,-0.33483068446846725,1056,-1
-20.0,0.7520507005683612,-0.0263908449560403,-0.0869526783454007,1035,-1,-21.0,0.20087013360171113,-0.02914530783891678,-0.3267639900247256,789,-1
-20.0,0.9017385904007824,-0.0128720626235008,-0.1068034773859066,1066,-1,-19.0,0.28214515060244594,0.012252110056579113,-0.37292378123119935,1054,-1
-20.0,0.7611943214433268,-0.0196940004825592,-0.1900302208158918,924,-1,-20.0,0.24628136557294056,-0.0559392124414444,-0.3868440391108543,918,-1
-19.0,0.9365917149116284,-0.0170999653637409,-0.1914127768348839,1071,-1,-18.0,0.2777166293526534,0.03199100121855736,-0.3717538496072757,995,-1
-21.0,1.0329973945918027,-0.001616776920855,-0.1867941316107617,1080,-1,-21.0,0.26131476943555754,-0.009279431775212288,-0.36004358522667756,861,-1
-19.0,0.9444341115304268,0.0114005655050277,-0.2182225097210949,1024,-1,-19.0,0.29237157209718134,0.01449035294353962,-0.38127770423328966,996,-1
-21.0,0.7262575697386637,0.0210735388100147,-0.2336296513128805,837,-1,-20.0,0.24337836322956719,0.19330130517482758,-0.31737856754288246,931,-1
-20.0,0.8736210252973251,-0.0063320212066173,-0.2324077818731341,1048,-1,-19.0,0.2652068681200035,0.17975760996341705,-0.30701416784930724,973,-1
-18.0,1.057998866890557,0.0046344124712049,-0.2644564953942808,1294,-1,-19.0,0.3921254726010375,0.14515793323516846,-0.2923626825510413,1116,-1
-18.0,1.1800482333055695,0.0202034041285514,-0.292997916814623,1264,-1,-20.0,0.3922606599080609,0.2497568428516388,-0.2922996723931398,1143,-1
-21.0,0.7236521395388991,0.0093187866732478,-0.3154264423639203,840,-1,-18.0,0.4694696025690064,0.5666266679763794,-0.25279141637800034,1308,-1
-20.0,0.8247927245101891,0.0088380454108119,-0.3444793171495856,886,-1,-21.0,0.2792978225770639,0.4311240017414093,-0.3688003974656111,808,-1
-21.0,0.6819727780530229,0.0135128106921911,-0.3903385587592592,761,-1,-21.0,0.3169248470803723,0.2744545042514801,-0.33067417957458145,823,-1
-19.0,0.9844893256085924,0.0776749104261398,-0.2707458856928174,1241,-1,-21.0,0.2894737674796488,0.1850813329219818,-0.3962075666633608,780,-1
-19.0,0.7985108830616809,0.0571297630667686,-0.3128258547849807,1013,-1,-19.0,0.4401559377874946,0.4040924310684204,-0.2916922079256333,1145,-1
-20.0,0.7528072485583834,0.0411768108606338,-0.3519929244986101,923,-1,-20.0,0.47291636699810624,0.6016665697097778,-0.32120141607116565,1005,-1
-18.0,0.9773354472126812,0.0764938294887542,-0.2955305452828169,1153,-1,-20.0,0.42890182297560386,0.5287425518035889,-0.38232171130067566,927,-1
-20.0,0.9549942320445552,0.072557508945465,-0.320714346321736,975,-1,-19.0,0.4694331435894128,0.6278782486915588,-0.27983664647426154,946,-1
-18.0,1.236933332751505,0.0630034729838371,-0.3569232315533744,1160,-1,-21.0,0.4495005937642418,0.6806974411010742,-0.3869411623943598,809,-1
-20.0,1.0687055008020252,0.0657133311033248,-0.4306679322211029,899,-1,-21.0,0.6212678242009133,0.5365484356880188,-0.34102325546385875,1050,-1
-21.0,1.027977692661807,0.0231270212680101,-0.4769182252501033,849,-1,-21.0,0.5271656607219484,0.6145247220993042,-0.31692896031973533,972,-1
-18.0,1.486185753135942,0.0437567457556724,-0.3973929738359794,1241,-1,-20.0,0.5297637886251323,0.6461094617843628,-0.27238401789761485,1065,-1
-20.0,1.1576933672185987,0.0453625470399856,-0.4370466992428975,959,-1,-20.0,0.4265930727124214,0.5602980256080627,-0.38936380947635113,839,-1
-21.0,1.1112703090766445,0.0267406180500984,-0.4585149698365428,930,-1,-21.0,0.4811820977483876,0.5661468505859375,-0.3881164158445893,975,-1
-20.0,1.1715211453847587,0.0431953556835651,-0.4259170506197214,1004,-1,-19.0,0.5262207298073918,0.6735193729400635,-0.34365581441302223,963,-1
-21.0,0.9416459914064036,0.0609564930200576,-0.4989337243485566,839,-1,-21.0,0.41516433807555586,0.5459227561950684,-0.33935283255387405,761,-1
-20.0,0.9003966519376263,0.0387591421604156,-0.5115392003707845,899,-1,-20.0,0.5823608891223557,0.7440114617347717,-0.3035780330728406,1099,-1
-19.0,0.8597526994999498,0.0537299364805221,-0.5024641344573028,917,-1,-21.0,0.3997591323859524,0.43318480253219604,-0.3407613099407171,821,-1
-20.0,0.8235968922963366,0.044177159667015,-0.4303225229342974,911,-1,-21.0,0.4958750098012388,0.5807989239692688,-0.42061278507516864,940,-1
-21.0,0.8494326578220353,0.0349258705973625,-0.4888560894499946,909,-1,-21.0,0.4151212592259981,0.688476026058197,-0.5039593936152642,821,-1
-21.0,0.709630302619189,0.0047753690741956,-0.5463633762221477,779,-1,-19.0,0.5649456812534481,0.4152557849884033,-0.3496892848211416,1130,-1
