vanilla_reward,vanilla_loss,vanilla_max_q_value,vanilla_avg_q_value,vanilla_steps,vanilla_clipped_reward,double_reward,double_loss,double_max_q_value,double_avg_q_value,double_steps,double_clipped_reward
-21.0,2.3537673669634387,0.03887440264225,0.0198127653449773,814,-1,-2.0,0.13018996268510818,-inf,0.0,46,-1
-20.0,2.5621101810975238,0.0314277485013008,0.0123092972983916,916,-1,-21.0,2.184264640076435,0.01622096821665764,-0.014710985744992891,837,-1
-21.0,2.5648213296444737,0.0255206506699323,0.005057361559011,821,-1,-20.0,2.5257775362188113,0.019325710833072662,-0.008003006677608938,916,-1
-21.0,2.4098040281096478,0.0162328351289033,-0.0058932537973305,851,-1,-20.0,2.61209726567904,0.0016855746507644653,-0.023802857566624883,899,-1
-21.0,2.3988769141142257,-0.0016318964771926,-0.0182895239442586,840,-1,-21.0,2.889246040111175,-0.02223101817071438,-0.04355082877500114,969,-1
-21.0,2.4718475431509432,-0.0241297706961631,-0.0397056521475315,821,-1,-21.0,2.2666637197544333,-0.024667654186487198,-0.05014405902475119,808,-1
-18.0,2.948776212608209,-0.0127328149974346,-0.057038986507584,1029,-1,-20.0,2.943937797077524,-0.03513656184077263,-0.07018000500069722,1039,-1
-20.0,2.462376722600311,0.0082210432738065,-0.0692993871348559,955,-1,-20.0,2.785019474729779,-0.06792756915092468,-0.09038358340497873,900,-1
-21.0,1.1691349576576613,0.0410577543079853,-0.0831299537641109,780,-1,-21.0,2.8218385010768543,-0.07813312858343124,-0.10065695500537136,999,-1
-20.0,0.8119900116580538,0.1058716252446174,-0.0786526093414674,867,-1,-20.0,2.389700136540341,-0.09106388688087463,-0.11648798704539474,914,-1
-20.0,0.6402664537308738,0.13054259121418,-0.0835505239645499,899,-1,-21.0,2.3755626615675283,-0.09630978107452393,-0.14615814345223554,849,-1
-21.0,0.48803061718354,0.1403488367795944,-0.1353499153756275,821,-1,-21.0,2.0412804830120876,-0.08106674998998642,-0.15016371932708564,795,-1
-19.0,0.7283403576584533,0.1445896625518798,-0.1074215994391124,1144,-1,-21.0,1.5420726687880233,-0.07770699262619019,-0.16878501943543428,975,-1
-21.0,0.5104018124984577,0.2444666773080825,-0.0834478567385196,761,-1,-20.0,1.0246630483015906,-0.07101824879646301,-0.17909861756588824,900,-1
-19.0,0.6660902403527871,0.2527187168598175,-0.0722340173050651,946,-1,-21.0,0.6193840025225654,-0.07330761849880219,-0.22340440958045246,761,-1
-21.0,0.6237922724685632,0.1997846364974975,-0.1701233472642128,883,-1,-21.0,0.6028974926593946,-0.0779954195022583,-0.2358123786174334,780,-1
-20.0,0.6345563055947423,0.1839897632598877,-0.1463335407877477,927,-1,-20.0,0.6862631471012719,-0.057470500469207764,-0.23730661232462694,867,-1
-20.0,0.7489063465036452,0.2385263890028,-0.1553869268196936,955,-1,-19.0,0.8747759860707447,-0.06742174178361893,-0.21529698454671428,1073,-1
-20.0,0.7002741232281551,0.1847428828477859,-0.1650059501524083,899,-1,-19.0,0.8396034212782979,-0.07126037031412125,-0.24538328878072485,1066,-1
-20.0,0.7792167938896455,0.2422540932893753,-0.1697233114833648,976,-1,-21.0,0.5731321178609505,-0.08817660808563232,-0.2991135292896281,761,-1
-19.0,0.8079296493087895,0.2467370778322219,-0.1329251874887394,1041,-1,-19.0,0.9305858022999018,-0.0895281434059143,-0.2830906990760315,1091,-1
-20.0,0.6602439635898918,0.1728733479976654,-0.2070756505481195,839,-1,-19.0,1.0706672415835783,-0.08755624294281006,-0.27654957697533133,1162,-1
-20.0,0.7703570894664153,0.2127787470817566,-0.2061449190301121,962,-1,-21.0,0.6670007535722107,-0.0929110050201416,-0.3375429152624637,874,-1
-19.0,0.7413783012889326,0.2943780720233917,-0.2241612672793846,974,-1,-20.0,0.750719838833902,-0.08491020649671555,-0.366829750669557,927,-1
